Khu vực,Tỉnh/ Thành phố,Mã trường xét tuyển,Mã Trường,Tên Trường,Loại đơn vị,Mã nhóm ngành,Nhóm ngành,Mã phân ngành,Phân ngành,Mã xét tuyển,Tên Ngành,Loại điểm,Tổ hợp,Điểm chuẩn,Ghi chú,Năm
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140234,Sư phạm Tiếng Trung Quốc,THPTQG - Thang 40,D01,38.46,"Tốt nghiệp THPT, ngoại ngữ x2",2023
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140234,Sư phạm Tiếng Trung Quốc,THPTQG - Thang 40,D90,38.46,"Tốt nghiệp THPT, ngoại ngữ x2",2023
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140234,Sư phạm Tiếng Trung Quốc,THPTQG - Thang 40,D78,38.46,"Tốt nghiệp THPT, ngoại ngữ x2",2023
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140231,Sư phạm Tiếng Anh,THPTQG - Thang 40,D01,38.1,"Tốt nghiệp THPT, ngoại ngữ x2",2023
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140231,Sư phạm Tiếng Anh,THPTQG - Thang 40,D90,38.1,"Tốt nghiệp THPT, ngoại ngữ x2",2023
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140231,Sư phạm Tiếng Anh,THPTQG - Thang 40,D78,38.1,"Tốt nghiệp THPT, ngoại ngữ x2",2023
Miền Bắc,Hà Nội,HBT,AJC,Học Viện Báo Chí – Tuyên Truyền,Công lập,732.0,Báo chí và thông tin,73201,Báo chí và truyền thông,615,Quan hệ công chúng,THPTQG - Thang 40,D78,38.02,Tốt nghiệp THPT; Thang điểm 40,2023
Miền Bắc,Hà Nội,HBT,AJC,Học Viện Báo Chí – Tuyên Truyền,Công lập,732.0,Báo chí và thông tin,73201,Báo chí và truyền thông,7320107,Truyền thông quốc tế,THPTQG - Thang 40,D78,37.31,Tốt nghiệp THPT; Thang điểm 40,2023
Miền Bắc,Hà Nội,HBT,AJC,Học Viện Báo Chí – Tuyên Truyền,Công lập,732.0,Báo chí và thông tin,73201,Báo chí và truyền thông,605,Báo chí,THPTQG - Thang 40,D78,37.23,Tốt nghiệp THPT; Thang điểm 40,2023
Miền Bắc,Hà Nội,KHA,NEU,Đại Học Kinh Tế Quốc Dân,Công lập,734.0,Kinh doanh và quản lý,73401,Kinh doanh,POHE3,Marketing,THPTQG - Thang 40,A01,37.1,"Truyền thông Marketing, Tốt nghiệp THPT; Tiếng Anh x2",2023
