Khu vực,Tỉnh/ Thành phố,Mã trường xét tuyển,Mã Trường,Tên Trường,Loại đơn vị,Mã nhóm ngành,Nhóm ngành,Mã phân ngành,Phân ngành,Mã xét tuyển,Tên Ngành,Loại điểm,Tổ hợp,Điểm chuẩn,Ghi chú,Năm
Miền Bắc,Hà Nội,NTH,FTU,Đại Học Ngoại Thương (Cơ sở phía Bắc),Công lập,722.0,Nhân văn,72202,"Ngôn ngữ, văn học và văn hóa nước ngoài",NTH06,Ngôn ngữ Trung Quốc,THPTQG - Thang 40,D01,39.35,Điểm thi TN THPT (môn ngoại ngữ nhân hệ số 2).\nTổ hợp D04 chênh lệch giảm 2 điểm,2021
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140231,Sư phạm Tiếng Anh,THPTQG - Thang 40,D01,38.45,Điểm thi TN THPT (môn ngoại ngữ nhân hệ số 2),2021
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140231,Sư phạm Tiếng Anh,THPTQG - Thang 40,D90,38.45,Điểm thi TN THPT (môn ngoại ngữ nhân hệ số 2),2021
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140231,Sư phạm Tiếng Anh,THPTQG - Thang 40,D78,38.45,Điểm thi TN THPT (môn ngoại ngữ nhân hệ số 2),2021
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140234,Sư phạm Tiếng Trung Quốc,THPTQG - Thang 40,D01,38.32,Điểm thi TN THPT (môn ngoại ngữ nhân hệ số 2),2021
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140234,Sư phạm Tiếng Trung Quốc,THPTQG - Thang 40,D90,38.32,Điểm thi TN THPT (môn ngoại ngữ nhân hệ số 2),2021
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140234,Sư phạm Tiếng Trung Quốc,THPTQG - Thang 40,D78,38.32,Điểm thi TN THPT (môn ngoại ngữ nhân hệ số 2),2021
Miền Bắc,Hà Nội,HBT,AJC,Học Viện Báo Chí – Tuyên Truyền,Công lập,732.0,Báo chí và thông tin,73201,Báo chí và truyền thông,615,Quan hệ công chúng,THPTQG - Thang 40,D78,38.07,Thang 40. Điểm thi TN THPTQuan hệ công chúng chuyên nghiệp,2021
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140237,Sư phạm Tiếng Hàn Quốc,THPTQG - Thang 40,D01,37.7,Điểm thi TN THPT (môn ngoại ngữ nhân hệ số 2),2021
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140237,Sư phạm Tiếng Hàn Quốc,THPTQG - Thang 40,D90,37.7,Điểm thi TN THPT (môn ngoại ngữ nhân hệ số 2),2021
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140237,Sư phạm Tiếng Hàn Quốc,THPTQG - Thang 40,D78,37.7,Điểm thi TN THPT (môn ngoại ngữ nhân hệ số 2),2021
Miền Bắc,Hà Nội,HBT,AJC,Học Viện Báo Chí – Tuyên Truyền,Công lập,732.0,Báo chí và thông tin,73201,Báo chí và truyền thông,616,Quan hệ công chúng,THPTQG - Thang 40,D78,37.57,Thang 40. Điểm thi TN THPTTruyền thông Marketing (CLC),2021
Miền Bắc,Hà Nội,NHF,HANU,Đại Học Hà Nội,Công lập,722.0,Nhân văn,72202,"Ngôn ngữ, văn học và văn hóa nước ngoài",7220210,Ngôn ngữ Hàn Quốc,THPTQG - Thang 40,D01,37.55,Điểm thi TN THPT,2021
Miền Bắc,Hà Nội,KHA,NEU,Đại Học Kinh Tế Quốc Dân,Công lập,751.0,Công nghệ kỹ thuật,75106,Quản lý công nghiệp,EP14,Logistics và Quản lý chuỗi cung ứng,THPTQG - Thang 40,A00,37.55,kết hợp chứng chỉ quốc tếtiếng Anh hệ số 2,2021
Miền Bắc,Hà Nội,KHA,NEU,Đại Học Kinh Tế Quốc Dân,Công lập,751.0,Công nghệ kỹ thuật,75106,Quản lý công nghiệp,EP14,Logistics và Quản lý chuỗi cung ứng,THPTQG - Thang 40,A01,37.55,kết hợp chứng chỉ quốc tếtiếng Anh hệ số 2,2021
Miền Bắc,Hà Nội,KHA,NEU,Đại Học Kinh Tế Quốc Dân,Công lập,751.0,Công nghệ kỹ thuật,75106,Quản lý công nghiệp,EP14,Logistics và Quản lý chuỗi cung ứng,THPTQG - Thang 40,D01,37.55,kết hợp chứng chỉ quốc tếtiếng Anh hệ số 2,2021
Miền Bắc,Hà Nội,KHA,NEU,Đại Học Kinh Tế Quốc Dân,Công lập,751.0,Công nghệ kỹ thuật,75106,Quản lý công nghiệp,EP14,Logistics và Quản lý chuỗi cung ứng,THPTQG - Thang 40,D07,37.55,kết hợp chứng chỉ quốc tếtiếng Anh hệ số 2,2021
Miền Bắc,Hà Nội,NTH,FTU,Đại Học Ngoại Thương (Cơ sở phía Bắc),Công lập,722.0,Nhân văn,72202,"Ngôn ngữ, văn học và văn hóa nước ngoài",NTH04,Ngôn ngữ Anh,THPTQG - Thang 40,D01,37.55,Điểm thi TN THPT ( môn ngoại ngữ nhân hệ số 2),2021
Miền Bắc,Hà Nội,HBT,AJC,Học Viện Báo Chí – Tuyên Truyền,Công lập,732.0,Báo chí và thông tin,73201,Báo chí và truyền thông,7320107,Truyền thông quốc tế,THPTQG - Thang 40,D78,37.51,Điểm thi TN THPT,2021
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140236,Sư phạm Tiếng Nhật,THPTQG - Thang 40,D01,37.33,Điểm thi TN THPT (môn ngoại ngữ nhân hệ số 2),2021
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140236,Sư phạm Tiếng Nhật,THPTQG - Thang 40,D90,37.33,Điểm thi TN THPT (môn ngoại ngữ nhân hệ số 2),2021
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,714.0,Khoa học giáo dục và đào tạo giáo viên,71402,Đào tạo giáo viên,7140236,Sư phạm Tiếng Nhật,THPTQG - Thang 40,D78,37.33,Điểm thi TN THPT (môn ngoại ngữ nhân hệ số 2),2021
Miền Bắc,Hà Nội,KHA,NEU,Đại Học Kinh Tế Quốc Dân,Công lập,722.0,Nhân văn,72202,"Ngôn ngữ, văn học và văn hóa nước ngoài",7220201,Ngôn ngữ Anh,THPTQG - Thang 40,A01,37.3,Điểm TN THPT,2021
Miền Bắc,Hà Nội,KHA,NEU,Đại Học Kinh Tế Quốc Dân,Công lập,722.0,Nhân văn,72202,"Ngôn ngữ, văn học và văn hóa nước ngoài",7220201,Ngôn ngữ Anh,THPTQG - Thang 40,D01,37.3,Điểm TN THPT,2021
Miền Bắc,Hà Nội,KHA,NEU,Đại Học Kinh Tế Quốc Dân,Công lập,722.0,Nhân văn,72202,"Ngôn ngữ, văn học và văn hóa nước ngoài",7220201,Ngôn ngữ Anh,THPTQG - Thang 40,D09,37.3,Điểm TN THPT,2021
Miền Bắc,Hà Nội,KHA,NEU,Đại Học Kinh Tế Quốc Dân,Công lập,722.0,Nhân văn,72202,"Ngôn ngữ, văn học và văn hóa nước ngoài",7220201,Ngôn ngữ Anh,THPTQG - Thang 40,D10,37.3,Điểm TN THPT,2021
Miền Bắc,Hà Nội,NTH,FTU,Đại Học Ngoại Thương (Cơ sở phía Bắc),Công lập,722.0,Nhân văn,72202,"Ngôn ngữ, văn học và văn hóa nước ngoài",NTH07,Ngôn ngữ Nhật,THPTQG - Thang 40,D01,37.2,Điểm thi TN THPT (môn ngoại ngữ nhân hệ số 2).\nTổ hợp D06 chênh lệch giảm 2 điểm,2021
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,722.0,Nhân văn,72202,"Ngôn ngữ, văn học và văn hóa nước ngoài",7220204,Ngôn ngữ Trung Quốc,THPTQG - Thang 40,D01,37.13,Chất lượng caoĐiểm thi TN THPT (môn ngoại ngữ nhân hệ số 2),2021
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,722.0,Nhân văn,72202,"Ngôn ngữ, văn học và văn hóa nước ngoài",7220204,Ngôn ngữ Trung Quốc,THPTQG - Thang 40,D90,37.13,Chất lượng caoĐiểm thi TN THPT (môn ngoại ngữ nhân hệ số 2),2021
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,722.0,Nhân văn,72202,"Ngôn ngữ, văn học và văn hóa nước ngoài",7220204,Ngôn ngữ Trung Quốc,THPTQG - Thang 40,D78,37.13,Chất lượng caoĐiểm thi TN THPT (môn ngoại ngữ nhân hệ số 2),2021
Miền Bắc,Hà Nội,KHA,NEU,Đại Học Kinh Tế Quốc Dân,Công lập,734.0,Kinh doanh và quản lý,73402,Tài chính - Ngân hàng - Bảo hiểm,EP10,Đầu tư tài chính,THPTQG - Thang 40,A01,37.1,tiếng Anh hệ số 2,2021
Miền Bắc,Hà Nội,KHA,NEU,Đại Học Kinh Tế Quốc Dân,Công lập,734.0,Kinh doanh và quản lý,73402,Tài chính - Ngân hàng - Bảo hiểm,EP10,Đầu tư tài chính,THPTQG - Thang 40,D01,37.1,tiếng Anh hệ số 2,2021
Miền Bắc,Hà Nội,KHA,NEU,Đại Học Kinh Tế Quốc Dân,Công lập,734.0,Kinh doanh và quản lý,73402,Tài chính - Ngân hàng - Bảo hiểm,EP10,Đầu tư tài chính,THPTQG - Thang 40,D07,37.1,tiếng Anh hệ số 2,2021
Miền Bắc,Hà Nội,KHA,NEU,Đại Học Kinh Tế Quốc Dân,Công lập,734.0,Kinh doanh và quản lý,73402,Tài chính - Ngân hàng - Bảo hiểm,EP10,Đầu tư tài chính,THPTQG - Thang 40,D10,37.1,tiếng Anh hệ số 2,2021
Miền Bắc,Hà Nội,NHF,HANU,Đại Học Hà Nội,Công lập,722.0,Nhân văn,72202,"Ngôn ngữ, văn học và văn hóa nước ngoài",7220204,Ngôn ngữ Trung Quốc,THPTQG - Thang 40,D01,37.07,Điểm thi TN THPT,2021
Miền Bắc,Hà Nội,HBT,AJC,Học Viện Báo Chí – Tuyên Truyền,Công lập,731.0,Khoa học xã hội và hành vi,73102,Khoa học chính trị,610,Quan hệ quốc tế,THPTQG - Thang 40,D78,36.95,Thang 40. Điểm thi TN THPTThông tin đối ngoại,2021
Miền Bắc,Hà Nội,HBT,AJC,Học Viện Báo Chí – Tuyên Truyền,Công lập,731.0,Khoa học xã hội và hành vi,73102,Khoa học chính trị,614,Quan hệ quốc tế,THPTQG - Thang 40,D78,36.92,Thang 40. Điểm thi TN THPTQuan hệ quốc tế và Truyền thông toàn cầu (CLC),2021
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,722.0,Nhân văn,72202,"Ngôn ngữ, văn học và văn hóa nước ngoài",7220201,Ngôn ngữ Anh,THPTQG - Thang 40,D01,36.9,Chất lượng caoĐiểm thi TN THPT (môn ngoại ngữ nhân hệ số 2),2021
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,722.0,Nhân văn,72202,"Ngôn ngữ, văn học và văn hóa nước ngoài",7220201,Ngôn ngữ Anh,THPTQG - Thang 40,D90,36.9,Chất lượng caoĐiểm thi TN THPT (môn ngoại ngữ nhân hệ số 2),2021
Miền Bắc,Hà Nội,QHF,ULIS,Đại Học Ngoại Ngữ – Đại Học Quốc Gia Hà Nội,Công lập,722.0,Nhân văn,72202,"Ngôn ngữ, văn học và văn hóa nước ngoài",7220201,Ngôn ngữ Anh,THPTQG - Thang 40,D78,36.9,Chất lượng caoĐiểm thi TN THPT (môn ngoại ngữ nhân hệ số 2),2021
Miền Nam,Hồ Chí Minh,DTT,TDTU,Đại Học Tôn Đức Thắng,Công lập,734.0,Kinh doanh và quản lý,73401,Kinh doanh,7340115,Marketing,THPTQG - Thang 40,A00,36.9,"Điểm TN THPTA00: Toán nhân hệ số 2A01, D01: Anh nhân hệ số 2",2021
Miền Nam,Hồ Chí Minh,DTT,TDTU,Đại Học Tôn Đức Thắng,Công lập,734.0,Kinh doanh và quản lý,73401,Kinh doanh,7340115,Marketing,THPTQG - Thang 40,A01,36.9,"Điểm TN THPTA00: Toán nhân hệ số 2A01, D01: Anh nhân hệ số 2",2021
