SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hóa,Sinh,Ngoại ngữ,GDCD,Năm thi
2000053,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.8,6.25,,,8.0,9.0,5.0,8.8,,2021
2000054,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.5,,,5.25,6.5,5.25,,,2021
2000055,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,5.25,,,7.5,6.75,6.0,9.4,,2021
2000056,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.25,5.5,7.75,,,,8.6,8.25,2021
2000057,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,8.0,3.75,7.25,,,,9.6,8.5,2021
2000058,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.25,,,5.75,8.5,7.25,7.2,,2021
2000059,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,7.0,6.5,,,,9.0,8.0,2021
2000060,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.25,,,6.5,8.25,9.0,9.0,,2021
2000061,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,3.5,7.25,,,,8.4,8.0,2021
2000062,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,,,5.75,6.5,6.0,9.6,,2021
2000063,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,8.0,9.0,9.0,,,,9.0,8.75,2021
2000064,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.25,4.75,6.75,,,,9.4,6.75,2021
2000065,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.0,7.75,7.25,,,,9.6,6.75,2021
2000066,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,7.5,,,6.25,6.5,5.75,8.8,,2021
2000067,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.0,,,7.75,6.75,4.25,9.6,,2021
2000068,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.75,5.25,6.5,,,,9.0,8.75,2021
2000069,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.5,,,6.75,8.25,6.75,9.0,,2021
2000071,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,8.0,,,7.75,7.75,5.75,9.0,,2021
2000072,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.0,6.25,7.5,,,,9.6,8.5,2021
2000073,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,4.5,5.0,6.75,,,,8.4,9.75,2021
2000074,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.25,,,7.0,8.75,7.75,7.8,,2021
2000075,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.25,,,8.0,8.0,6.5,,,2021
2000076,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.0,,,8.25,7.5,6.75,6.2,,2021
2000078,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.0,4.5,,,8.0,3.75,4.5,9.2,,2021
2000079,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.25,,,7.5,7.0,6.25,9.2,,2021
2000080,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,8.25,8.5,7.5,,,,10.0,9.5,2021
2000081,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.0,6.5,6.0,7.5,,,,9.0,9.5,2021
2000082,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.75,,,7.0,3.0,6.0,7.6,,2021
2000083,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.0,,,4.0,4.0,5.5,9.0,,2021
2000084,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5.0,,,8.5,5.0,4.25,9.0,,2021
2000085,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,,,6.75,7.0,4.0,8.8,,2021
2000086,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.5,,,6.0,4.75,4.75,10.0,,2021
2000087,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,,,5.5,7.25,7.0,8.6,,2021
2000088,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8.25,6.0,5.5,,,,9.0,8.75,2021
2000089,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8.0,,,5.75,6.75,5.25,9.2,,2021
2000090,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.0,,,8.25,8.0,5.5,7.4,,2021
2000091,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,5.75,,,8.75,8.25,5.5,9.2,,2021
2000092,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,6.75,,,8.75,7.75,3.25,9.0,,2021
2000093,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,,,7.5,5.5,5.5,9.0,,2021
2000094,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.75,,,5.5,6.25,7.25,8.8,,2021
2000095,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.33,,,6.75,7.0,6.25,9.4,,2021
2000096,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.75,,,7.75,6.75,5.5,,,2021
2000097,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,,,3.75,8.25,3.25,9.2,,2021
2000099,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.75,5.5,6.0,,,,8.0,8.0,2021
2000100,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.75,6.5,7.75,,,,8.4,8.0,2021
2000101,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.75,,,6.0,8.5,9.75,8.8,,2021
2000102,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.0,5.25,6.75,,,,8.0,7.5,2021
2000103,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8.0,,,7.75,7.75,4.0,8.0,,2021
2000104,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5.75,,,8.25,7.75,4.5,6.4,,2021
2000105,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.0,,,7.5,8.25,5.0,7.6,,2021
2000106,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,4.0,,,5.25,3.75,5.0,9.8,,2021
2000107,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,,,5.25,6.5,4.25,9.2,,2021
2000108,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,6.5,5.25,7.5,,,,6.6,8.5,2021
2000109,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.0,,,8.25,6.25,6.0,9.6,,2021
2000110,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.25,5.75,6.75,,,,9.4,7.5,2021
2000111,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.75,,,6.5,7.5,5.75,9.4,,2021
2000112,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.75,,,6.75,7.25,4.5,9.2,,2021
2000113,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.5,,,7.5,5.25,4.5,8.4,,2021
2000114,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.75,6.0,7.75,,,,9.6,9.25,2021
2000115,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,7.75,7.75,,,,9.4,9.5,2021
2000116,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,6.75,7.75,,,,8.6,7.25,2021
2000117,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.5,5.75,6.0,,,,9.2,7.0,2021
2000118,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.0,,,6.25,6.5,5.5,9.2,,2021
2000119,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.0,5.75,,,5.0,5.0,3.75,8.2,,2021
2000120,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,6.5,4.25,6.5,,,,8.4,8.0,2021
2000122,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.0,5.5,7.25,,,,9.2,8.5,2021
2000123,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,8.0,,,5.25,4.75,4.75,8.8,,2021
2000124,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.75,,,5.0,5.25,4.75,,,2021
2000125,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.25,5.75,6.75,,,,9.0,8.25,2021
2000126,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.0,7.75,6.5,6.75,,,,8.6,9.75,2021
2000127,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,,,6.75,7.5,6.5,8.8,,2021
2000128,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,8.25,,,7.75,8.0,7.25,8.8,,2021
