Tên Trường,Latitude,Longitude
Đại Học Y Khoa Vinh,18.6852023,105.6984541
Trường Sĩ Quan Lục Quân 1 - Đại học Trần Quốc Tuấn,,
Trường Sĩ Quan Phòng Hóa,,
Đại Học Ngân Hàng TPHCM,10.8579777,106.7633087
Viện nghiên cứu và đào tạo Việt Anh - Đại học Đà Nẵng,16.0709942,108.2200487
HUS - Đại Học Khoa Học Tự Nhiên – Đại Học Quốc Gia Hà Nội,,
Đại Học Công Đoàn,21.0103765,105.8251258
Đại Học Trà Vinh,9.9201893,106.3484141
Đại Học Hàng Hải,20.8314544,106.6971147
Đại Học Công Nghiệp Hà Nội,20.9364407,105.7123081
Học Viện Hải Quân,12.215797,109.2045588
Viện Đại Học Mở Hà Nội,21.0716928,105.7732524
Đại Học Việt Đức,11.1093609,106.6137666
Đại Học An Giang,10.3689038,105.4311989
Học Viện Công Nghệ Bưu Chính Viễn Thông (phía Nam),,
Trường Sĩ Quan Thông Tin - Hệ Quân sự - Đại Học Thông Tin Liên Lạc,,
Trường Sĩ Quan Kĩ Thuật Quân Sự -  Hệ Quân sự - Đại Học Trần Đại Nghĩa,,
UED - Đại Học Giáo Dục - Đại học Quốc Gia Hà Nội,,
Học Viện Kỹ Thuật Mật Mã,20.9808209,105.7960754
Đại học Công Nghệ TPHCM,10.7379821,106.6779264
Đại Học Nông Lâm TPHCM,10.8669653,106.7910918
Đại Học Nguyễn Tất Thành,10.7615245,106.7102061
Phân Hiệu Đại Học Đà Nẵng tại Kon Tum,14.3610764,107.9986846
Đại Học Kinh Tế -Tài chính TPHCM,10.7989905,106.7068081
Học Viện Phụ Nữ Việt Nam,21.0195344,105.8074078
Đại Học Sư Phạm Thể DụcThể Thao TPHCM,,
Đại Học Đồng Tháp,10.4207885,105.6436113
Trường Sĩ  Quan Tăng – Thiết Giáp,10.8581691,106.9773349
Đại Học Giao Thông Vận Tải (Cơ sở Phía Bắc),,
Đại Học Thăng Long,21.0388103,105.7818897
Đại học Thủ Dầu Một,10.9800245,106.6755868
Đại Học Giao Thông Vận Tải (Cơ sở Phía Nam),,
Đại Học Dân Lập Duy Tân,,
Đại Học Xây Dựng Hà Nội,21.00051,105.84527
Trường Ngoại Ngữ – Đại Học Thái Nguyên,21.5912003,105.807436
Đại Học Thủy Lợi (Cơ sở 1),,
Đại Học Mỹ Thuật Công Nghiệp,21.0234248,105.8238345
Khoa Giáo dục thể chất - Đại học Đà Nẵng,,
Đại học Y Dược Buôn Ma Thuột,,
