Trường đào tạo,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
KHA - Đại Học Kinh Tế Quốc Dân,7480104,Hệ thống thông tin,A00; A01; D01; D07,35.94,Môn Toán hệ số 2
KHA - Đại Học Kinh Tế Quốc Dân,7480201,Công nghệ thông tin,A00; A01; D01; D07,35.17,Môn Toán hệ số 2
KHA - Đại Học Kinh Tế Quốc Dân,7480202,An toàn thông tin,A00; A01; D01; D07,35,Môn Toán hệ số 2
KHA - Đại Học Kinh Tế Quốc Dân,7510605,Logistics và Quản lý chuỗi cung ứng,A00; A01; D01; D07,27.89,
KHA - Đại Học Kinh Tế Quốc Dân,7620114,Kinh doanh nông nghiệp,A00; A01; D01; D07,26.81,
KHA - Đại Học Kinh Tế Quốc Dân,7620115,Kinh tế nông nghiệp,A00; A01; D01; D07,26.85,
KHA - Đại Học Kinh Tế Quốc Dân,7810103,Quản trị dịch vụ du lịch và lữ hành,A00; A01; D01; D07,26.71,
KHA - Đại Học Kinh Tế Quốc Dân,7810201,Quản trị khách sạn,A00; A01; D01; D07,26.94,
KHA - Đại Học Kinh Tế Quốc Dân,7850101,Quản lý tài nguyên và môi trường,A00; A01; D01; D07,26.76,
KHA - Đại Học Kinh Tế Quốc Dân,7850102,Kinh tế tài nguyên thiên nhiên,A00; A01; D01; D07,26.87,
KHA - Đại Học Kinh Tế Quốc Dân,7850103,Quản lý đất đai,A00; A01; D01; D07,26.85,
KHA - Đại Học Kinh Tế Quốc Dân,EBBA,Quản trị kinh doanh (E-BBA),A00; A01; D01; D07,27.01,
KHA - Đại Học Kinh Tế Quốc Dân,EP01,Khởi nghiệp và phát triển kinh doanh (BBAE)/ngành QTKD,A01; D01; D07; D09,36.25,Môn Tiếng Anh hệ số 2
KHA - Đại Học Kinh Tế Quốc Dân,EP02,Định phí Bảo hiểm & Quản trị rủi ro (Actuary),A00; A01; D01; D07,26.57,
KHA - Đại Học Kinh Tế Quốc Dân,EP03,Khoa học dữ liệu trong Kinh tế & Kinh doanh (DSEB),A00; A01; D01; D07,26.97,
KHA - Đại Học Kinh Tế Quốc Dân,EP04,Kế toán tích hợp chứng chỉ quốc tế (ICAEW CFAB),A00; A01; D01; D07,27.2,
KHA - Đại Học Kinh Tế Quốc Dân,EP05,Kinh doanh số (E-BDB)/ngành QTKD,A00; A01; D01; D07,27,
KHA - Đại Học Kinh Tế Quốc Dân,EP06,Phân tích kinh doanh (BA)/ngành QTKD,A00; A01; D01; D07,27.48,
KHA - Đại Học Kinh Tế Quốc Dân,EP07,Quản trị điều hành thông minh (E-SOM)/ngành QTKD,A01; D01; D07; D10,26.96,
KHA - Đại Học Kinh Tế Quốc Dân,EP08,Quản trị chất lượng và Đổi mới (E-MQI)/ngành QTKD,A01; D01; D07; D10,26.86,
KHA - Đại Học Kinh Tế Quốc Dân,EP09,Công nghệ tài chính (BFT)/ngành TC-NH,A00; A01; D01; D07,26.96,
KHA - Đại Học Kinh Tế Quốc Dân,EP10,Tài chính và Đầu tư (BFI)/ngành TC-NH,A01; D01; D07; D10,36.36,Môn Tiếng Anh hệ số 2
KHA - Đại Học Kinh Tế Quốc Dân,EP11,Quản trị khách sạn quốc tế (IHME),A01; D01; D09; D10,35.65,Môn Tiếng Anh hệ số 2
KHA - Đại Học Kinh Tế Quốc Dân,EP12,Kiểm toán tích hợp chứng chỉ quốc tế (ICAEW CFAB),A00; A01; D01; D07,27.45,
KHA - Đại Học Kinh Tế Quốc Dân,EP13,Kinh tế tài chính (FE)/ngành Kinh tế,A00; A01; D01; D07,26.96,
KHA - Đại Học Kinh Tế Quốc Dân,EP14,Logistics và Quản lý CCU tích hợp chứng chỉ Logistic quốc tế (LSIC),A01; D01; D07; D10,36.42,Môn Tiếng Anh hệ số 2
KHA - Đại Học Kinh Tế Quốc Dân,EP15,Khoa học dữ liệu,A00; A01; D01; D07,35.46,Môn Toán hệ số 2
KHA - Đại Học Kinh Tế Quốc Dân,EP16,Trí tuệ nhân tạo,A00; A01; D01; D07,34.5,Môn Toán hệ số 2
